txId,time_step,feat_1
f55ff16f66f43360266b95db6f8fec01d76031054306ae4a4b380598f6cfd114,1,0.0
2c3a4249d77070058649dbd822dcaf7957586fce428cfb2ca88b94741eda8b07,1,0.0
f46dd28a5499d8efef0b8fb8ee1ec1c5a5e407c9381741d576ba8deb4f59ec3f,2,0.0
4539e4b4889079c2a00afeae0bfc1439840ef2379a1fb81c8ba27361ad476d6b,2,0.0
7dc96f776c8423e57a2785489a3f9c43fb6e756876d6ad9a9cac4aa4e72ec193,3,0.0
4814d92093ac8a0f4a2163ab87dee509ba306a58f5888be0edcb2fcd0712028b,3,0.0
76a8277347f52530e1cf979175a178980b3a180d176165c985d85f7e142f1eed,4,0.0
486bacc5c2d8a71a73d51bf8e522deaa264ec2628dca2955da1e9b8e00f21943,4,0.0
d0f631ca1ddba8db3bcfcb9e057cdc98d0379f1bee00e75a545147a27dadd982,5,0.0
9c0abe51c6e6655d81de2d044d4fb194931f058c0426c67c7285d8f5657ed64a,5,0.0
7c1c97df17c066924822b0af09a65251554962c61e23329aed04cd19020dc3b8,6,0.0
0012a3fa000c5dc26ee658c3c58e12cecd58d6455cec3d5621f0c787675b38aa,7,0.0
8b53639f152c8fc6ef30802fde462ba0be9cf085f7580dc69efd72e002abbb35,7,0.0
e788103ee15318fcd2af9b73b4ebbb33a903b020de7b307d71f5fed0f433e548,8,0.0
f451a61749c611ba0fa0e16c61831db44f38c611dff25879cf271a24c81a88b6,8,0.0
8b5cc4df7eec7d32a7814eca4af047ae33b2d52342667715682e19c25b0b9faa,9,0.0
ac0f09c0f8bf5e7a4b063d863255f16d8ce9abe600e288d934cf313bcbff63eb,9,0.0
cef7fc13a38180936ffa2635489088778e059f07a5d1beda53f1719d35577631,10,0.0
3f524cdc07a11d7c6220bdb049fe8dd41b27483c96cc59b581e022d547290d69,10,0.0
e4ab4e3b1493d5a997b4e51cdefbaa10570ef3ea9432bd72e7b6a89654ceb7f6,11,0.0
625e0f649de27800fc3bcf4c118ef79f69dcb762c2e73fbb1cfce0e7a86f6b80,11,0.0
711430f6164e93803d93428bc1fab80f41e213bb197689307de8606d437c3038,12,0.0
4d2f4b668cfc48e6059d36e91326bf87de39ba819f35450477bc1ce614a63bbd,13,0.0
33112ee14ee469c3eb52fe90322ec81dd404a0093d565a6d71ce77cbc8124e3b,13,0.0
f998fe06afa0cfbe73e0449dc2b1698309e1b5714960f027b2858312b152c275,14,0.0
4cd9b7672d7fbee8fb51fb1e049f690342035f543a8efe734b7b5ffb0c154a45,15,0.0
420fce314175df402adbeae3cfbbb85665b72d8b9bc2346f463e32a82f64b114,15,0.0
08243666f926aa4e5b884b8ef1fc3b93d19e191a793581530616bd2e032c4761,16,0.0
a499068b8f456a03adaf1064efe8fb54c8f0fd204468f27e168642eab19d883b,16,0.0
072a9269012bf72e8fde852c45d813735ac398e01bffe1caef99caab8dce2927,14,0.0
fb173a948cf4a99ace8aa40268ff7087a975aaca133ef2ed0012ee64feeb5dd7,17,0.0
d2d6ee88baf619af69fe34f3bb7bed4f482e20b61c068923fc3324bf289ccb46,17,0.0
a52ba8b1e0bd26a9a9292be45e1653663828573d6e8b629cde0351a21afd2945,18,0.0
d31f5b3c363e589dcc39dfa32c1882834ce65782778f46f8cbb9deb038ea8335,19,0.0
5e4f150aea3a7369c8b05af8d1dbc5f71d8c534691710e5af3c402418960053f,19,0.0
b87b7023cde7c7cddb1f408c0c79cb9988c05fc560eaa2352c45a983688c69fd,20,0.0
3402f5cfe4ae2adff8ae83f879a3a65ed0ff3175ef2d0011e0002959f950970f,21,0.0
5078590bb55e79170fcdaf8ef8e3eac187c498dcf5081c075f6adfacf0d30065,21,0.0
6209f336db33fd4f11ee38c80dec3d76f609a27cee5d64624e52ed2a971312a0,22,0.0
d34beeb70cddcc1f973ab468a4f7467557065a2fc1b9c118e728035b25d38af0,23,0.0
568db421693629b25e9eb5597365e4e862638d29dcc0bb03f4085ebf2d5afd6b,23,0.0
ff521c8648fd7f877700f8236f9dbc46b0f5e930184e620fd8499acb27bc5762,24,0.0
1d7aaccdd2031472c25d8c4d757864058f2782c66d59e315bd4bb4c3002f6f9a,25,0.0
8c3456a7506c79f20e11e94f29cd381fec2faaf4e82b7f77b59150657556b322,25,0.0
40ba25ddfe4dad6bdf0898a0da4490a30b945da8f15ed6df7a9b51d2519bc69f,26,0.0
85a7efae94754e0aa9218b40ef885e2af469a8e3b87adc3ded3416837be3a02d,27,0.0
b80f9ab9154962dc272e28b3927aa8748c29f64015d1316b1f2de7b549382d8e,27,0.0
802f83fa8e5d7f74044cd9f9e98b13d7aca785f09a201ea2af3157824fa84c56,28,0.0
d1b56903519d59ee51d6c8b774dbe80ebb66e6331361bf7e7786597b8a19d9cb,29,0.0
c9f9b435ea28e08508a8cde57592bc1c430a6eafc4fdcdd0c981d4e58201046e,29,0.0
ec59dfc2f1a7cc0d5086701d438f37bc7ac0775b9fa9811cd2f50df710f91211,30,0.0
f4f7b3d7e1dcdcb61d7894dce87d2217fbf1071e4402c8f28e3765f239e397b1,31,0.0
10166c04ba9c4b64370abfaa0f6074df0308289b5089b4b589248e1918c09789,31,0.0
eefefd2b42ee468b46da4597e68fd6f69d89b0caeca05ca96b5014abef6b5cdd,32,0.0
1082e1f98805fd1761c78e996f1fb246f887cb266d0c401412e003b4ad0bccbb,33,0.0
